Name|Full name|Start time|Result|Category
_2_Edit|SpecFlowAutomation.Tests.Features._040_CreateUSBDeviceControlsVID_PIDFeature._2_Edit|2024-11-13T20:33:50Z|Failed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._040_CreateUSBDeviceControlsVID_PIDFeature._3_Delete|2024-11-13T20:34:12Z|Failed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._040_CreateUSBDeviceControlsVID_PIDFeature._4_Discard|2024-11-13T20:34:34Z|Failed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._041_CreateUSBDeviceControlsDeviceIdFeature._1_Create|2024-11-13T20:34:56Z|Failed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._041_CreateUSBDeviceControlsDeviceIdFeature._2_Edit|2024-11-13T20:35:18Z|Failed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._041_CreateUSBDeviceControlsDeviceIdFeature._3_Delete|2024-11-13T20:35:40Z|Failed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._041_CreateUSBDeviceControlsDeviceIdFeature._4_Discard|2024-11-13T20:36:02Z|Failed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._042_CreateDictaphoneDeviceControlsDeviceIdFeature._1_Create|2024-11-13T20:36:24Z|Passed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._042_CreateDictaphoneDeviceControlsDeviceIdFeature._2_Edit|2024-11-13T20:36:54Z|Passed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._042_CreateDictaphoneDeviceControlsDeviceIdFeature._3_Delete|2024-11-13T20:37:18Z|Passed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._042_CreateDictaphoneDeviceControlsDeviceIdFeature._4_Discard|2024-11-13T20:37:46Z|Passed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._043_CreateDictaphoneDeviceControlsVID_PIDFeature._1_Create|2024-11-13T20:38:02Z|Passed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._043_CreateDictaphoneDeviceControlsVID_PIDFeature._2_Edit|2024-11-13T20:38:28Z|Passed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._043_CreateDictaphoneDeviceControlsVID_PIDFeature._3_Delete|2024-11-13T20:38:51Z|Passed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._043_CreateDictaphoneDeviceControlsVID_PIDFeature._4_Discard|2024-11-13T20:39:19Z|Passed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._044_CreateDvdCdDeviceControlsDeviceIdFeature._1_Create|2024-11-13T20:39:33Z|Passed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._044_CreateDvdCdDeviceControlsDeviceIdFeature._2_Edit|2024-11-13T20:40:00Z|Passed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._044_CreateDvdCdDeviceControlsDeviceIdFeature._3_Delete|2024-11-13T20:40:24Z|Passed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._044_CreateDvdCdDeviceControlsDeviceIdFeature._4_Discard|2024-11-13T20:40:52Z|Passed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._045_CreateDvdCdDeviceControlsVID_PIDFeature._1_Create|2024-11-13T20:41:08Z|Passed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._045_CreateDvdCdDeviceControlsVID_PIDFeature._2_Edit|2024-11-13T20:41:34Z|Passed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._045_CreateDvdCdDeviceControlsVID_PIDFeature._3_Delete|2024-11-13T20:41:57Z|Passed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._045_CreateDvdCdDeviceControlsVID_PIDFeature._4_Discard|2024-11-13T20:42:24Z|Passed|smoke|
_01_CreatePolicy|SpecFlowAutomation.Tests.Features._046_CreateAndDeleteBaselinePoliciesForApplicationWindowsSupersedenceFeature._01_CreatePolicy|2024-11-13T20:42:38Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._046_CreateAndDeleteBaselinePoliciesForApplicationWindowsSupersedenceFeature._2_DeletePolicy|2024-11-13T20:43:37Z|Passed|smoke|
_1_ValidationOfDeviceId|SpecFlowAutomation.Tests.Features._047_ValidationDictaphoneDeviceControlsFeature._1_ValidationOfDeviceId|2024-11-13T20:44:01Z|Passed|smoke|
_2_ValidationOfVID_PID|SpecFlowAutomation.Tests.Features._047_ValidationDictaphoneDeviceControlsFeature._2_ValidationOfVID_PID|2024-11-13T20:44:21Z|Passed|smoke|
